objID,ra,dec,zs,type,u,g,r,i,z,u_r,q_r,petroR90_r,clean
1237651823251751765,228.52088999999998,4.0606485,0.662818,3,26.13963,26.13963,26.13963,26.13963,26.13963,0.03848917,0.06685319999999999,2.951368,1
1237651823251620400,228.25607000000002,4.1594655,0.5054506,3,23.06856,23.06856,23.06856,23.06856,23.06856,-0.01870155,0.039576099999999996,4.337674,1
1237651823251489114,227.99294,4.181266,0.09785753,3,18.99634,18.99634,18.99634,18.99634,18.99634,-0.17970360000000002,-0.007729253,5.932702,1
1237651823251161880,227.20175,4.1790805,0.6334808000000001,3,24.990389999999998,24.990389999999998,24.990389999999998,24.990389999999998,24.990389999999998,0.0050333420000000005,-0.0270065,2.76073,1
1237651823251096206,227.11686,4.2510642,0.4949005999999999,3,22.3514,22.3514,22.3514,22.3514,22.3514,0.002572867,0.01600469,2.173971,1
1237654880742999243,228.70711,4.0011545,0.5558904,3,22.483929999999997,22.483929999999997,22.483929999999997,22.483929999999997,22.483929999999997,-0.04964405,0.12908519999999998,3.5476980000000005,1
1237651823251095689,227.16491000000002,4.2658474,0.03649377,3,19.05643,19.05643,19.05643,19.05643,19.05643,-0.1510146,-0.1650614,11.609760000000001,1
1237651823251095808,227.11952000000002,4.3008754,0.11198759999999999,3,18.93194,18.93194,18.93194,18.93194,18.93194,-0.01249644,-0.03033284,8.029627,1
1237651823251095895,227.06965,4.3106446,0.1117528,3,19.59086,19.59086,19.59086,19.59086,19.59086,0.1155461,0.3479977,5.789629,1
1237651823251161432,227.25307,4.1656209,0.03339141,3,19.64232,19.64232,19.64232,19.64232,19.64232,0.1605616,-0.341679,11.21907,1
1237651823251226653,227.34455,4.1676058,0.37663379999999996,3,23.03893,23.03893,23.03893,23.03893,23.03893,-0.008361992,0.0008946609,0.41958029999999996,1
1237651823251226862,227.45167,4.2655211,0.12933699999999998,3,20.07225,20.07225,20.07225,20.07225,20.07225,-0.09997983,-0.07016619,4.727656,1
1237651823251292429,227.53351,4.1319714,0.09829373,3,19.3792,19.3792,19.3792,19.3792,19.3792,-0.10799829999999999,-0.2282944,6.755731,1
1237651823251292441,227.55203999999998,4.2397958,0.134778,3,19.598570000000002,19.598570000000002,19.598570000000002,19.598570000000002,19.598570000000002,-0.08425143,0.1764219,5.3366,1
1237651823251292453,227.55473999999998,4.137823200000001,0.07708295,3,18.48982,18.48982,18.48982,18.48982,18.48982,-0.02038154,-0.02578085,7.1228169999999995,1
1237651823251882295,228.92526,4.0954334999999995,0.09639703,3,19.427039999999998,19.427039999999998,19.427039999999998,19.427039999999998,19.427039999999998,-0.002198064,-0.004210097,5.036187,1
1237651823252013064,229.1281,4.1101664,0.10146430000000001,3,19.04478,19.04478,19.04478,19.04478,19.04478,0.06210158,0.03461258,4.839622,1
1237651823252013227,229.19506,4.034342700000001,0.05570841,3,17.14305,17.14305,17.14305,17.14305,17.14305,0.06707060000000001,-0.0317306,9.416052,1
1237651823252013297,229.26899,4.113188,0.03758693,3,18.1706,18.1706,18.1706,18.1706,18.1706,0.07552121,-0.3784316,10.33362,1
1237651823252209962,229.67700000000002,4.0637161,0.04515604,3,17.52235,17.52235,17.52235,17.52235,17.52235,0.02270579,0.01744131,12.92252,1
1237654880742277397,227.0021,4.0739825,0.08030236,3,19.20296,19.20296,19.20296,19.20296,19.20296,-0.1046003,0.2828782,7.984655,1
1237654880742998288,228.6605,4.0362913,0.04110587,3,17.31999,17.31999,17.31999,17.31999,17.31999,-0.07090805,-0.1006515,15.906429999999999,1
1237655744557351135,228.71395,5.938828,0.1775428,3,20.45156,20.45156,20.45156,20.45156,20.45156,0.04406369,-0.08793141,5.916245,1
1237655744557351329,228.77915,5.9677309,0.3019185,3,23.3982,23.3982,23.3982,23.3982,23.3982,0.01218334,0.01223111,3.7671690000000004,1
1237655744557417234,228.8981,5.9460441,0.17703629999999998,3,21.815360000000002,21.815360000000002,21.815360000000002,21.815360000000002,21.815360000000002,-0.3290632,-0.1612534,4.441249,1
1237655744557482332,229.09562999999997,5.8461904,0.1760318,3,20.46065,20.46065,20.46065,20.46065,20.46065,0.1088229,-0.09148617,8.006705,1
1237651823251554554,228.18256,4.0774439,0.0419982,3,18.5513,18.5513,18.5513,18.5513,18.5513,-0.15927729999999998,-0.2405969,9.304903999999999,1
1237651823251620155,228.36348999999998,4.083453700000001,0.1108897,3,17.54469,17.54469,17.54469,17.54469,17.54469,0.009288124,0.08658209,6.625096000000001,1
1237651823251685609,228.37194,4.109125499999999,0.10874269999999998,3,19.47113,19.47113,19.47113,19.47113,19.47113,0.24272399999999997,-0.06444075,5.1355059999999995,1
1237651823251816620,228.68937000000003,4.0663236000000005,0.03739328,3,17.75252,17.75252,17.75252,17.75252,17.75252,0.02291112,0.2987077,8.741178999999999,1
1237651823251620086,228.29381,4.1783959,0.1741519,3,21.336779999999997,21.336779999999997,21.336779999999997,21.336779999999997,21.336779999999997,0.0006145344,0.02008615,7.848258,1
1237651823251817015,228.69772000000003,4.0855728,0.4589384,3,25.83375,25.83375,25.83375,25.83375,25.83375,-0.04011931,0.02392187,2.269158,1
1237651823251686012,228.44457000000003,4.1887425,0.6291568000000001,3,23.738870000000002,23.738870000000002,23.738870000000002,23.738870000000002,23.738870000000002,0.0491201,-0.01634596,5.2680419999999994,1
1237651823251620703,228.24799,4.1713687,0.5638279,3,21.832279999999997,21.832279999999997,21.832279999999997,21.832279999999997,21.832279999999997,0.07813803,-0.06160276,2.875197,1
1237651823251620364,228.24232,4.1032385,0.5048851,3,24.377,24.377,24.377,24.377,24.377,-0.008062224,0.03064836,4.5903279999999995,1
1237651823251620351,228.24104,4.147950700000001,0.5054094,3,22.551460000000002,22.551460000000002,22.551460000000002,22.551460000000002,22.551460000000002,-0.1987185,0.1290869,3.702322,1
1237651823251555011,228.21052000000003,4.0885649,0.41418900000000003,3,24.38925,24.38925,24.38925,24.38925,24.38925,0.08455677,-0.11219839999999999,3.4051980000000004,1
1237654880742277282,227.017,4.0803338,0.0887671,3,17.70041,17.70041,17.70041,17.70041,17.70041,-0.01421057,-0.06129853,4.471153,1
1237651823251816671,228.71598999999998,4.122686,0.09663606,3,19.29948,19.29948,19.29948,19.29948,19.29948,-0.1436373,-0.03223871,6.785246000000001,1
1237651823251816685,228.72451,4.0731662,0.09678227,3,19.4343,19.4343,19.4343,19.4343,19.4343,-0.0042177840000000005,-0.03049076,5.938055,1
1237651823251816702,228.73791,4.0655395,0.1000403,3,18.91116,18.91116,18.91116,18.91116,18.91116,-0.07622012,-0.1249865,4.536291,1
1237651823251816722,228.76074,4.1452117,0.0952101,3,19.418020000000002,19.418020000000002,19.418020000000002,19.418020000000002,19.418020000000002,0.14732910000000002,0.0006962558000000001,3.816604,1
1237655745094353374,229.01758999999998,6.388128900000001,0.5066493,3,23.47026,23.47026,23.47026,23.47026,23.47026,0.04208687,-0.04826108,2.069617,1
1237655744557351617,228.71232,5.966810700000001,0.5487124,3,26.08963,26.08963,26.08963,26.08963,26.08963,-0.02643429,0.1689797,4.673218,1
1237655744557286350,228.66946000000002,5.954375499999999,0.5251384,3,23.04555,23.04555,23.04555,23.04555,23.04555,-0.02257184,0.002375055,3.0897580000000002,1
1237655744020546474,228.92631,5.5846967,0.4260609,3,23.64506,23.64506,23.64506,23.64506,23.64506,0.03645933,0.01181722,3.312721,1
1237655744020546362,228.87252999999998,5.458356299999999,0.5131047000000001,3,24.98522,24.98522,24.98522,24.98522,24.98522,0.03167347,0.02825931,2.19414,1
1237655744020546011,228.90814,5.5481444,0.5833550000000001,3,24.11267,24.11267,24.11267,24.11267,24.11267,0.035594,0.006493696,2.899553,1
1237655744020415483,228.50515,5.5358827,0.6312444,3,24.48126,24.48126,24.48126,24.48126,24.48126,0.11289500000000001,0.04536341,3.6394010000000003,1
1237651823251292426,227.52893999999998,4.156177,0.1293384,3,19.88852,19.88852,19.88852,19.88852,19.88852,-0.0014141260000000001,0.03264977,5.290421,1
1237655744557547970,229.13252000000003,5.848631299999999,0.5041475000000001,3,22.80453,22.80453,22.80453,22.80453,22.80453,-0.09539868,0.18153129999999998,3.34139,1
1237651823252275799,229.72147,4.0150955,0.5668615,3,23.012729999999998,23.012729999999998,23.012729999999998,23.012729999999998,23.012729999999998,0.02302025,0.01760901,6.227132,1
1237651823252210453,229.69132000000002,4.0604746,0.5680271,3,25.01846,25.01846,25.01846,25.01846,25.01846,-0.06650196,0.04525542,2.940906,1
1237655744556695583,227.20812999999998,6.1595889999999995,0.317046,3,22.31312,22.31312,22.31312,22.31312,22.31312,0.03512903,-0.01172865,4.923156,1
1237655744556761390,227.44425,6.1158317,0.09683622,3,19.81696,19.81696,19.81696,19.81696,19.81696,-0.01539525,-0.1544212,3.8806480000000003,1
1237655744556761432,227.47202000000001,6.0921216,0.07603575,3,19.51217,19.51217,19.51217,19.51217,19.51217,-0.07451611,0.004199881,4.217779,1
1237655742409932983,228.70708,4.3262846,0.10272910000000002,3,19.03414,19.03414,19.03414,19.03414,19.03414,0.04210680000000001,0.001267482,3.861061,1
1237655742409933041,228.7164,4.2027203,0.10605389999999999,3,20.33031,20.33031,20.33031,20.33031,20.33031,0.007204358,-0.01292597,5.71462,1
1237655742409933053,228.72566,4.2453002,0.09599414,3,19.20316,19.20316,19.20316,19.20316,19.20316,-0.05303255,0.01969848,5.679089,1
1237655742946672662,228.49022999999997,4.7965833,0.09811080000000001,3,18.35945,18.35945,18.35945,18.35945,18.35945,0.08528822,0.09970238,10.84807,1
1237655742946672979,228.48958,4.775968499999999,0.09848458,3,20.09656,20.09656,20.09656,20.09656,20.09656,-0.1545051,0.1604965,4.260924,1
1237655742946672985,228.48367000000002,4.6182197,0.09729239,3,19.09284,19.09284,19.09284,19.09284,19.09284,-0.03655913,0.03153865,5.594295,1
1237655742946673209,228.47445,4.6683378,0.0970697,3,18.89643,18.89643,18.89643,18.89643,18.89643,-0.06896452,-0.007753978000000001,6.979786,1
1237655742946738294,228.56816,4.762043900000001,0.04148962,3,18.19245,18.19245,18.19245,18.19245,18.19245,0.1526536,0.09790085,9.031717,1
1237655742946738328,228.59018999999998,4.6237537,0.09833843,3,18.97225,18.97225,18.97225,18.97225,18.97225,-0.01715583,0.04659093,7.548461,1
1237655742946738374,228.62026,4.6930001,0.03883269,3,18.629579999999997,18.629579999999997,18.629579999999997,18.629579999999997,18.629579999999997,0.2606183,-0.05332385,6.171781,1
1237655742946738426,228.64872000000003,4.6595512,0.09572333,3,19.970570000000002,19.970570000000002,19.970570000000002,19.970570000000002,19.970570000000002,0.1548261,0.06958026,6.379012,1
1237655742946738464,228.68202000000002,4.6658397,0.09607191,3,18.0473,18.0473,18.0473,18.0473,18.0473,0.01308519,-0.142983,8.041976,1
1237655742946738560,228.68483999999998,4.6133767,0.09853949,3,20.664360000000002,20.664360000000002,20.664360000000002,20.664360000000002,20.664360000000002,-0.09405936,0.3635145,7.152939,1
1237655742946803858,228.75152999999997,4.5906422,0.09569424,3,20.23682,20.23682,20.23682,20.23682,20.23682,0.02316334,0.03211256,5.44249,1
1237655742946804045,228.81579,4.754072,0.05207281,3,20.05549,20.05549,20.05549,20.05549,20.05549,0.3267261,0.2330076,5.618769,1
1237655742946804128,228.83992,4.6332878,0.1000813,3,19.769920000000003,19.769920000000003,19.769920000000003,19.769920000000003,19.769920000000003,-0.06198212,0.2470786,5.003444,1
1237655742946869539,228.95469,4.771856400000001,0.04231906,3,18.89151,18.89151,18.89151,18.89151,18.89151,-0.02460867,-0.03339842,6.348558000000001,1
1237655742947065984,229.44024,4.679667299999999,0.03615597,3,18.10158,18.10158,18.10158,18.10158,18.10158,-0.1835047,0.01253152,3.436152,1
1237655742947066023,229.30271000000002,4.5941065000000005,0.09995989,3,19.52606,19.52606,19.52606,19.52606,19.52606,0.07842626,-0.3255085,5.195987000000001,1
1237655742947066065,229.34762999999998,4.6833611,0.037248199999999995,3,18.55635,18.55635,18.55635,18.55635,18.55635,-0.3134991,-0.1958209,5.4464809999999995,1
1237655742947066155,229.44415,4.7044343,0.04939330000000001,3,18.271,18.271,18.271,18.271,18.271,-0.03547741,0.1105161,9.04768,1
1237655742947131531,229.45028,4.551829,0.03851219,3,19.03452,19.03452,19.03452,19.03452,19.03452,-0.2378948,0.3524679,10.2926,1
1237655742947131568,229.47887999999998,4.5250268,0.1469453,3,19.433670000000003,19.433670000000003,19.433670000000003,19.433670000000003,19.433670000000003,-0.02644445,-0.03758921,5.329047,1
1237655743483347169,228.0419,5.2787526,0.09344512,3,19.74543,19.74543,19.74543,19.74543,19.74543,-0.03061564,-0.10186239999999999,5.689887000000001,1
1237655743483347212,228.05812999999998,5.2171212,0.2205343,3,22.06394,22.06394,22.06394,22.06394,22.06394,0.009678233,-0.05171439,6.69367,1
1237655743483347371,228.06179,5.1803017,0.3214974,3,21.062929999999998,21.062929999999998,21.062929999999998,21.062929999999998,21.062929999999998,-0.05047284,-0.05022622,5.931182,1
1237655743483543757,228.46761,5.0839434,0.174547,3,21.5058,21.5058,21.5058,21.5058,21.5058,0.02161979,-0.04857506,5.969442,1
1237655743483609542,228.64444,5.0633087,0.03365707,3,17.79898,17.79898,17.79898,17.79898,17.79898,-0.01369996,-0.01623675,14.23109,1
1237655743483674651,228.79561,5.2106261,0.07903585,3,18.316570000000002,18.316570000000002,18.316570000000002,18.316570000000002,18.316570000000002,0.004919234000000001,0.03866561,10.09189,1
1237655743483674752,228.80934,5.1898499000000005,0.03324472,3,16.68661,16.68661,16.68661,16.68661,16.68661,0.008496258000000001,0.1197151,17.24517,1
1237655743483674896,228.78802000000002,5.1400817000000005,0.07953705,3,20.10674,20.10674,20.10674,20.10674,20.10674,-0.01988651,-0.02915005,4.15454,1
1237655743483674910,228.79976000000002,5.076110099999999,0.02588659,3,18.6699,18.6699,18.6699,18.6699,18.6699,-0.024952099999999998,0.2129613,7.844075,1
1237655743483674960,228.87402999999998,5.013127900000001,0.03533209,3,17.533170000000002,17.533170000000002,17.533170000000002,17.533170000000002,17.533170000000002,0.005071632,-0.06160257,13.785129999999999,1
1237655743483740506,228.98217999999997,5.0384125,0.1425955,3,20.21681,20.21681,20.21681,20.21681,20.21681,0.20671889999999998,0.14956879999999997,6.211056,1
1237655743483740531,229.01856,5.1688281,0.03381574,3,18.31891,18.31891,18.31891,18.31891,18.31891,0.05310914,0.10658800000000002,7.001716,1
1237655743483740587,229.02864,4.9903998,0.1403863,3,19.59039,19.59039,19.59039,19.59039,19.59039,0.05486072,0.08307379,7.54449,1
1237655743483805744,229.09293,5.1848389,0.03684622,3,17.907770000000003,17.907770000000003,17.907770000000003,17.907770000000003,17.907770000000003,-0.03871127,0.09912551,10.80538,1
1237655743483805816,229.14232,5.0545415,0.05208719,3,16.85321,16.85321,16.85321,16.85321,16.85321,-0.01403132,-0.2537957,14.666360000000001,1
1237655743483805881,229.16792999999998,4.9964334,0.0520568,3,17.42314,17.42314,17.42314,17.42314,17.42314,-0.14552779999999998,0.05440964,7.028888,1
1237655743483805990,229.09444,5.0954828,0.0358662,3,19.32197,19.32197,19.32197,19.32197,19.32197,-0.24721060000000003,0.27902899999999997,7.119514,1
1237655743483806079,229.17897999999997,5.045586900000001,0.05211274,3,18.097520000000003,18.097520000000003,18.097520000000003,18.097520000000003,18.097520000000003,0.07071518,0.10551860000000002,7.563563,1
1237655743483806136,229.09152000000003,5.0111004999999995,0.299151,3,24.88192,24.88192,24.88192,24.88192,24.88192,0.02629749,-0.009300671,9.609143,1
1237655743483871361,229.33267999999998,5.0533619000000005,0.04284237,3,19.52175,19.52175,19.52175,19.52175,19.52175,0.05029761,-0.07351805,3.3925669999999997,1
1237655743483871449,229.23261000000002,4.9819154,0.05151582,3,19.68242,19.68242,19.68242,19.68242,19.68242,0.1030117,0.2078968,4.4382150000000005,1
1237655743483871527,229.28489,5.0325913,0.1837156,3,19.25645,19.25645,19.25645,19.25645,19.25645,0.08130901,0.015438,4.407337999999999,1
1237655743483871552,229.30991,5.103293799999999,0.05304359,3,19.882179999999998,19.882179999999998,19.882179999999998,19.882179999999998,19.882179999999998,-8.284937e-05,-0.2955698,3.6825650000000003,1
1237655743483936933,229.46541000000002,5.1077015,0.03852083,3,16.2698,16.2698,16.2698,16.2698,16.2698,-0.01938518,-0.08716667,12.92029,1
1237655743483937116,229.44527000000002,5.112489900000001,0.10270730000000002,3,19.19102,19.19102,19.19102,19.19102,19.19102,-0.03017155,0.2845933,6.463737,1
1237655744020480337,228.72196,5.610236799999999,0.17404270000000002,3,19.21595,19.21595,19.21595,19.21595,19.21595,0.02225007,-0.0006691772,7.001575,1
1237655744020545761,228.83656000000002,5.496218900000001,0.07867167,3,20.3982,20.3982,20.3982,20.3982,20.3982,-0.02205036,0.04917705,2.6694,1
1237655744020545888,228.80832999999998,5.5950625,0.18372679999999997,3,19.59228,19.59228,19.59228,19.59228,19.59228,-0.2476904,0.24216959999999998,8.70219,1
1237655744557613329,229.34479,5.9019081,0.17704589999999998,3,19.15351,19.15351,19.15351,19.15351,19.15351,0.04850527,-0.09134314,3.939064,1
1237655742409867407,228.61681000000002,4.2306869,0.21781079999999997,3,22.95811,22.95811,22.95811,22.95811,22.95811,-0.0609144,0.03414880000000001,4.582747,1
1237655742409933365,228.80383999999998,4.211856299999999,0.3822894,3,23.32135,23.32135,23.32135,23.32135,23.32135,0.024228700000000002,0.005403169,4.385609,1
1237655742409998725,228.92962999999997,4.3556903,0.23342310000000002,3,21.45417,21.45417,21.45417,21.45417,21.45417,0.008328371,-0.09041281,8.510386,1
1237655742409998968,228.84977,4.278618799999999,0.6394385,3,25.604570000000002,25.604570000000002,25.604570000000002,25.604570000000002,25.604570000000002,0.1202845,0.0051293929999999995,4.50551,1
1237655742409999459,228.91707000000002,4.3427852,0.6557598000000001,3,24.34815,24.34815,24.34815,24.34815,24.34815,0.06053092,0.14844279999999999,2.902526,1
1237655742409999386,228.88076,4.3440009,0.6382044,3,25.92543,25.92543,25.92543,25.92543,25.92543,-0.06696936,-0.015086600000000002,2.4593580000000004,1
1237655742409998912,228.82372,4.191155200000001,0.5690951,3,24.40831,24.40831,24.40831,24.40831,24.40831,-0.03431507,0.08427345,4.959651999999999,1
1237655742409934039,228.72127000000003,4.1845964,0.5734911,3,23.483520000000002,23.483520000000002,23.483520000000002,23.483520000000002,23.483520000000002,0.3332913,0.02390527,2.798657,1
1237655742409933832,228.79896000000002,4.264023,0.5094095000000001,3,24.94887,24.94887,24.94887,24.94887,24.94887,0.008349946,0.03763941,3.307014,1
1237655742409933807,228.79705,4.3394248,0.5096077999999999,3,23.2162,23.2162,23.2162,23.2162,23.2162,-0.03964698,-0.04960896,2.639329,1
1237655742409933749,228.77618999999999,4.300262,0.5701105,3,22.88174,22.88174,22.88174,22.88174,22.88174,0.02590724,0.1151865,3.3643110000000003,1
1237655742409933212,228.80900000000003,4.3609545999999995,0.29944540000000003,3,22.85952,22.85952,22.85952,22.85952,22.85952,-0.0008916283,0.08058723,4.280448000000001,1
1237655742409868378,228.65613,4.349061,0.6181979999999999,3,23.17193,23.17193,23.17193,23.17193,23.17193,-0.03777879,0.10287830000000002,4.922542,1
